participant, color, response, RT, error
2, green, space, 0.4980, 0
2, blue, none, -1.0000, 0
2, green, space, 0.4544, 0
2, green, space, 0.4312, 0
2, blue, none, -1.0000, 0
2, green, space, 0.4264, 0
2, blue, none, -1.0000, 0
2, green, space, 0.4077, 0
2, blue, none, -1.0000, 0
2, green, space, 0.3636, 0
2, green, none, -1.0000, 1
2, blue, space, 0.3922, 1
2, green, space, 0.3929, 0
2, blue, none, -1.0000, 0
2, blue, none, -1.0000, 0
2, green, space, 0.3874, 0
2, blue, none, -1.0000, 0
2, blue, none, -1.0000, 0
2, green, space, 0.4235, 0
2, blue, none, -1.0000, 0
